id_linha,id_pedido,data_pedido,data_envio,modo_envio,id_cliente,nome_cliente,segmento,pais,cidade,estado,codigo_postal,regiao,id_produto,categoria,subcategoria,nome_produto,vendas,quantidade,desconto,lucro,dias_entrega,margem_lucro,ano_mes
1,CA-2016-152156,2016-11-08,2016-11-11,Segunda Classe,CG-12520,Claire Gute,Consumidor,United States,Henderson,Kentucky,42420,Sul,FUR-BO-10001798,Móveis,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,3,16.000000000000004,2016-11
2,CA-2016-152156,2016-11-08,2016-11-11,Segunda Classe,CG-12520,Claire Gute,Consumidor,United States,Henderson,Kentucky,42420,Sul,FUR-CH-10000454,Móveis,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,3,30.0,2016-11
3,CA-2016-138688,2016-06-12,2016-06-16,Segunda Classe,DV-13045,Darrin Van Huff,Corporativo,United States,Los Angeles,California,90036,Oeste,OFF-LA-10000240,Materiais de Escritório,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,4,47.0,2016-06
4,US-2015-108966,2015-10-11,2015-10-18,Classe Padrão,SO-20335,Sean O'Donnell,Consumidor,United States,Fort Lauderdale,Florida,33311,Sul,FUR-TA-10000577,Móveis,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,7,-40.0,2015-10
5,US-2015-108966,2015-10-11,2015-10-18,Classe Padrão,SO-20335,Sean O'Donnell,Consumidor,United States,Fort Lauderdale,Florida,33311,Sul,OFF-ST-10000760,Materiais de Escritório,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,7,11.25,2015-10
6,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,FUR-FU-10001487,Móveis,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,5,28.999999999999996,2014-06
7,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,OFF-AR-10002833,Materiais de Escritório,Art,Newell 322,7.28,4,0.0,1.9656,5,27.0,2014-06
8,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,TEC-PH-10002275,Tecnologia,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,5,10.0,2014-06
9,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,OFF-BI-10003910,Materiais de Escritório,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,5,31.249999999999993,2014-06
10,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,OFF-AP-10002892,Materiais de Escritório,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,5,30.0,2014-06
11,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,FUR-TA-10001539,Móveis,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,5,5.0,2014-06
12,CA-2014-115812,2014-06-09,2014-06-14,Classe Padrão,BH-11710,Brosina Hoffman,Consumidor,United States,Los Angeles,California,90032,Oeste,TEC-PH-10002033,Tecnologia,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,5,7.500000000000001,2014-06
